accession_number	seq	description	document	type
0001669191-20-000067	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000067	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000067	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000067	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000067	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000067	11	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000067	12	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001804000-20-000002	1		primary_doc.xml	C
0001804000-20-000002	2	FORM C	formc.pdf	EX-99
0001777476-20-000002	1		primary_doc.xml	C/A
0001777476-20-000002	2	FORM CA MIGHTY QUINNS	formcamightyquinns.pdf	EX-99
0001803912-20-000001	1		primary_doc.xml	C
0001803912-20-000001	2	FORM C	FormC1.pdf	EX-99
0001803912-20-000001	3	BOND PROSPECTUS - CADRAFTTECH SERIES A BONDS 03-2023	BondProspectus1.pdf	EX-99
0001803912-20-000001	4	BALANCE SHEET 2018	BalanceSheet2018.pdf	EX-99
0001803912-20-000001	5	BALANCE SHEET 2019	BalanceSheet2019.pdf	EX-99
0001803912-20-000001	6	PROFIT AND LOSS 2018	ProfitandLoss2018.pdf	EX-99
0001803912-20-000001	7	PROFIT AND LOSS 2019	ProfitandLoss2019.pdf	EX-99
0001803912-20-000001	8	OFFERING DETAILS	OfferingDetails.pdf	EX-99
0001803912-20-000001	9	LINKEDIN PROFILE 1	OscarDelgadoLinkedIn1.jpg	GRAPHIC
0001803912-20-000001	10	LINKEDIN PROFILE 2	MikeRustayLinkedIn1.jpg	GRAPHIC
0001792121-20-000002	1		primary_doc.xml	C
0001792121-20-000002	2	FORM C	formceventhollow.pdf	EX-99
0001665160-20-000149	1		primary_doc.xml	C
0001665160-20-000149	2		offeringmemoformc.pdf	EX-99
0001665160-20-000151	1		primary_doc.xml	C/A
0001665160-20-000152	1		primary_doc.xml	C/A
0001773714-20-000001	1		primary_doc.xml	C/A
0001670254-20-000139	1		primary_doc.xml	C
0001670254-20-000139	2		document_1.pdf	EX-99
0001670254-20-000139	3		document_2.pdf	EX-99
0001670254-20-000139	4		document_3.pdf	EX-99
0001670254-20-000139	5		document_4.pdf	EX-99
0001670254-20-000139	6		document_5.pdf	EX-99
0001670254-20-000139	7		document_6.pdf	EX-99
0001670254-20-000139	8		document_7.pdf	EX-99
0001670254-20-000139	9		document_8.pdf	EX-99
0001670254-20-000139	10		document_9.pdf	EX-99
0001670254-20-000139	11		document_10.pdf	EX-99
0001670254-20-000139	12		documents_list.htm	EX-99
0001746059-20-000053	1		primary_doc.xml	C-W
0001670254-20-000148	1		primary_doc.xml	C
0001670254-20-000148	2		document_1.pdf	EX-99
0001670254-20-000148	3		document_2.pdf	EX-99
0001670254-20-000148	4		document_3.pdf	EX-99
0001670254-20-000148	5		document_4.pdf	EX-99
0001670254-20-000148	6		document_5.pdf	EX-99
0001670254-20-000148	7		document_6.pdf	EX-99
0001670254-20-000148	8		document_7.pdf	EX-99
0001670254-20-000148	9		documents_list.htm	EX-99
0001779318-20-000002	1		primary_doc.xml	C
0001779318-20-000002	2	FLEETINGFORMC	fleetingformc.pdf	EX-99
0001782749-20-000002	1		primary_doc.xml	C-AR
0001782749-20-000002	2	FORM C-AR	tallyfyformcar2019.pdf	EX-99
0001670254-20-000151	1		primary_doc.xml	C
0001670254-20-000151	2		document_1.pdf	EX-99
0001670254-20-000151	3		document_2.pdf	EX-99
0001670254-20-000151	4		document_3.pdf	EX-99
0001670254-20-000151	5		document_4.pdf	EX-99
0001670254-20-000151	6		document_5.pdf	EX-99
0001670254-20-000151	7		document_6.pdf	EX-99
0001670254-20-000151	8		document_7.pdf	EX-99
0001670254-20-000151	9		document_8.pdf	EX-99
0001670254-20-000151	10		documents_list.htm	EX-99
0001670254-20-000144	1		primary_doc.xml	C/A
0001670254-20-000144	2		document_1.pdf	EX-99
0001670254-20-000144	3		document_2.jpg	GRAPHIC
0001670254-20-000144	4		document_3.pdf	EX-99
0001670254-20-000144	5		document_4.pdf	EX-99
0001670254-20-000144	6		document_5.pdf	EX-99
0001670254-20-000144	7		document_6.pdf	EX-99
0001670254-20-000144	8		document_7.pdf	EX-99
0001670254-20-000144	9		document_8.pdf	EX-99
0001670254-20-000144	10		document_9.pdf	EX-99
0001670254-20-000144	11		document_10.pdf	EX-99
0001670254-20-000144	12		documents_list.htm	EX-99
0001746059-20-000054	1		primary_doc.xml	C
0001746059-20-000054	2		sailtotrail_offmo.pdf	EX-99
0001746059-20-000054	3		sailtotrail_appa.pdf	EX-99
0001746059-20-000054	4		sailtotrail_appb.pdf	EX-99
0001746059-20-000054	5		sailtotrail_noteagmt.pdf	EX-99
0001746059-20-000054	6		sailtotrail_page.jpg	GRAPHIC
0001749594-20-000001	1		primary_doc.xml	C
0001749594-20-000001	2	ASARASIFORMC	asarasiformc.pdf	EX-99
0001802485-20-000002	1		primary_doc.xml	C/A
0001801721-20-000001	1		primary_doc.xml	C
0001801721-20-000001	2	FORM C	formc.pdf	EX-99
0001789937-20-000001	1		primary_doc.xml	C-W
0001665160-20-000155	1		primary_doc.xml	C
0001665160-20-000155	2		offeringmemoformc.pdf	EX-99
0001718354-20-000001	1		primary_doc.xml	C-TR
0001780439-20-000004	1		primary_doc.xml	C
0001780439-20-000004	2	EXHIBIT A - OFFERING MEMO	ExhibitAofferingmemo.pdf	EX-99
0001780439-20-000004	3	EXHIBIT B - FINANCIAL STATEMENTS	EXHIBITBfinancialstatements.pdf	EX-99
0001780439-20-000004	4	EXHIBIT C - SUBSCRIPTION AGREEMENT	EXHIBITCsubscripagreement.pdf	EX-99
0001780439-20-000004	5	EXHIBIT F - TRANSCRIPT	EXHIBITFvideotranscript.pdf	EX-99
0001780439-20-000004	6	EXHIBIT H - CORP DOCS	EXHIBITHcorpdocs.pdf	EX-99
0001780439-20-000004	7	EXHIBIT D - WORK HISTORY	EXHIBITDworkhistory1.pdf	EX-99
0001780439-20-000004	8	EXHIBIT E - PRESENTATION	EXHIBITEpresentation1.pdf	EX-99
0001780439-20-000004	9	EXHIBIT B - BUSINESS PLAN	EXHIBIITGbusinessplan1.pdf	EX-99
0001790042-20-000001	1		primary_doc.xml	C/A
0001790042-20-000001	2	THELIEUFORMCA	thelieuformca.pdf	EX-99
0001790042-20-000002	1		primary_doc.xml	C/A
0001790042-20-000002	2	THELIEUFORMCA	thelieuformca.pdf	EX-99
0001802096-20-000006	1		primary_doc.xml	C
0001802096-20-000006	2	FORM C	TeoohFormC1.pdf	EX-99
0001654300-20-000002	1		primary_doc.xml	C/A
0001743601-20-000001	1		primary_doc.xml	C/A
0001670254-20-000153	1		primary_doc.xml	C
0001670254-20-000153	2		document_1.pdf	EX-99
0001670254-20-000153	3		document_2.pdf	EX-99
0001670254-20-000153	4		document_3.pdf	EX-99
0001670254-20-000153	5		document_4.pdf	EX-99
0001670254-20-000153	6		document_5.pdf	EX-99
0001670254-20-000153	7		document_6.pdf	EX-99
0001670254-20-000153	8		document_7.pdf	EX-99
0001670254-20-000153	9		document_8.pdf	EX-99
0001670254-20-000153	10		document_9.pdf	EX-99
0001670254-20-000153	11		documents_list.htm	EX-99
0001795615-20-000001	1		primary_doc.xml	C/A
0001755767-20-000002	1		primary_doc.xml	C/A
0001802465-20-000002	1		primary_doc.xml	C
0001802465-20-000002	2	FORMC	Form_c.pdf	EX-99
0001666102-20-000004	1		primary_doc.xml	C/A
0001666102-20-000004	2	FORM C: OFFERING STATEMENT	20200226_FormC.pdf	EX-99
0001780439-20-000005	1		primary_doc.xml	C
0001780439-20-000005	2	EXHIBIT A	EXHIBITAofferingmemo.pdf	EX-99
0001780439-20-000005	3	EXHIBIT B	EXHIBITBfinancialstatements.pdf	EX-99
0001780439-20-000005	4	EXHIBIT C	EXHIBITCsub-agreement.pdf	EX-99
0001780439-20-000005	5	EXHIBIT D	EXHIBITDworkhistory.pdf	EX-99
0001780439-20-000005	6	EXHIBIT F	EXHIBITFraisevideotranscript.pdf	EX-99
0001780439-20-000005	7	EXHIBIT E	ExhibitEraisepresentation1.pdf	EX-99
0001780439-20-000005	8	EXHIBIT G	EXHIBITGbusinessplan1.pdf	EX-99
0001780439-20-000005	9	EXHIBIT H	EXHIBITHcorporatedocs.pdf	EX-99
0001795322-20-000001	1		primary_doc.xml	C
0001795322-20-000001	2		doc1.pdf	EX-99
0001795322-20-000001	3		doc2.pdf	EX-99
0001795322-20-000001	4		doc301.pdf	EX-99
0001795322-20-000001	5		doc302.pdf	EX-99
0001795322-20-000001	6		doc4.pdf	EX-99
0001759332-20-000002	1		primary_doc.xml	C/A
0001759332-20-000002	2	PERSONA OFFERING MEMO	personaofferingmemo.pdf	EX-99
0001708246-20-000003	1		primary_doc.xml	C/A
0001708246-20-000003	2	FORM C/A	formc.pdf	EX-99
0001665160-20-000157	1		primary_doc.xml	C/A
0001213900-20-004806	1		primary_doc.xml	C
0001213900-20-004806	2	EXHIBIT A: OFFERING STATEMENT	fc0220ex-a_viromentcap.htm	EX-99
0001213900-20-004806	3	EXHIBIT B: BUSINESS AND BUSINESS PLAN	fc0220ex-b_viromentcap.htm	EX-99
0001213900-20-004806	4	EXHIBIT C: SUBSCRIPTION AGREEMENT	fc0220ex-c_viromentcap.htm	EX-99
0001213900-20-004806	5	EXHIBIT D: FORM OF PROMISSORY NOTE	fc0220ex-d_viromentcap.htm	EX-99
0001213900-20-004806	6	EXHIBIT E: OPERATING AGREEMENT	fc0220ex-e_viromentcap.htm	EX-99
0001213900-20-004806	7	EXHIBIT F: OFFERING PAGE ON INTERMEDIARY'S PORTAL	fc0220ex-f_viromentcap.htm	EX-99
0001213900-20-004806	8	EXHIBIT G: PORTAL AGREEMENT, CONSULTING SERVICES AGREEMENT AND ESCROW AGREEMENT	fc0220ex-g_viromentcap.htm	EX-99
0001213900-20-004806	9	EXHIBIT H: FINANCIAL STATEMENTS	fc0220ex-h_viromentcap.htm	EX-99
0001213900-20-004806	10	GRAPHIC	exb_001.jpg	GRAPHIC
0001213900-20-004806	11	GRAPHIC	exb_002.jpg	GRAPHIC
0001213900-20-004806	12	GRAPHIC	exb_003.jpg	GRAPHIC
0001213900-20-004806	13	GRAPHIC	exb_004.jpg	GRAPHIC
0001213900-20-004806	14	GRAPHIC	exb_005.jpg	GRAPHIC
0001213900-20-004806	15	GRAPHIC	exb_006.jpg	GRAPHIC
0001213900-20-004806	16	GRAPHIC	exb_007.jpg	GRAPHIC
0001213900-20-004806	17	GRAPHIC	exb_008.jpg	GRAPHIC
0001213900-20-004806	18	GRAPHIC	exb_009.jpg	GRAPHIC
0001213900-20-004806	19	GRAPHIC	exb_010.jpg	GRAPHIC
0001213900-20-004806	20	GRAPHIC	exb_011.jpg	GRAPHIC
0001213900-20-004806	21	GRAPHIC	exb_012.jpg	GRAPHIC
0001213900-20-004806	22	GRAPHIC	exf_001.jpg	GRAPHIC
0001213900-20-004806	23	GRAPHIC	exg_001.jpg	GRAPHIC
0001213900-20-004806	24	GRAPHIC	exh_001.jpg	GRAPHIC
0001213900-20-004806	25	GRAPHIC	exh_002.jpg	GRAPHIC
0001213900-20-004806	26	GRAPHIC	exh_003.jpg	GRAPHIC
0001746059-20-000056	1		primary_doc.xml	C
0001746059-20-000056	2		littleradish_offmo.pdf	EX-99
0001746059-20-000056	3		littleradish_appxa.pdf	EX-99
0001746059-20-000056	4		littleradish_appxb.pdf	EX-99
0001746059-20-000056	5		littleradish_noteagmt.pdf	EX-99
0001746059-20-000056	6		littleradish_page.jpg	GRAPHIC
0001780439-20-000006	1		primary_doc.xml	C/A
0001780439-20-000006	2	EXHIBIT A	EXHIBITAofferingmemo.pdf	EX-99
0001706937-20-000010	1		primary_doc.xml	C/A
0001706937-20-000010	2	FORM C/A	wherebyformca.pdf	EX-99
0001665160-20-000159	1		primary_doc.xml	C-AR
0001665160-20-000159	2		form_car.pdf	EX-99
0001777274-20-000004	1		primary_doc.xml	C/A
0001777274-20-000004	2	FORM C/A	formc.pdf	EX-99
0001796110-20-000003	1		primary_doc.xml	C
0001796110-20-000003	2	FORM C	formc.pdf	EX-99
0001665160-20-000162	1		primary_doc.xml	C-W
0001752109-20-000003	1		primary_doc.xml	C
0001752109-20-000003	2	FSBS	fsbs.pdf	EX-99
0001752109-20-000003	3	OFFERMEMO	offermemo1.pdf	EX-99
0001665160-20-000161	1		primary_doc.xml	C-U-W
0001803861-20-000002	1		primary_doc.xml	C
0001803861-20-000002	2	OFFERMEMO	offermemo.pdf	EX-99
0001803861-20-000002	3	FSBS	fsbs.pdf	EX-99
0001746059-20-000058	1		primary_doc.xml	C
0001746059-20-000058	2		roomboards_offmo.pdf	EX-99
0001746059-20-000058	3		roomboards_appxa.pdf	EX-99
0001746059-20-000058	4		roomboards_appxb.pdf	EX-99
0001746059-20-000058	5		roomboards_noteagmt.pdf	EX-99
0001746059-20-000058	6		roomboards_page.jpg	GRAPHIC
0001669191-20-000078	1		primary_doc.xml	C
0001669191-20-000078	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000078	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000078	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000078	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000078	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000078	7	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000078	8	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001746059-20-000060	1		primary_doc.xml	C-W
0001796295-20-000003	1		primary_doc.xml	C/A
0001796295-20-000003	2	NUUREZ OFFERING STATEMENT	nuurezos20200226.pdf	EX-99
0001746059-20-000061	1		primary_doc.xml	C
0001746059-20-000061	2		monkeywrench_offmo.pdf	EX-99
0001746059-20-000061	3		monkeywrench_appxa.pdf	EX-99
0001746059-20-000061	4		monkeywrench_appxb.pdf	EX-99
0001746059-20-000061	5		monkeywrench_rsnagmt.pdf	EX-99
0001746059-20-000061	6		monkeywrench_page.jpg	GRAPHIC
0001746059-20-000063	1		primary_doc.xml	C
0001746059-20-000063	2		gnukitchen_offmo.pdf	EX-99
0001746059-20-000063	3		gnukitchen_appxa.pdf	EX-99
0001746059-20-000063	4		gnukitchen_appxb.pdf	EX-99
0001746059-20-000063	5		gnukitchen_noteagmt.pdf	EX-99
0001746059-20-000063	6		gnukitchen_page.jpg	GRAPHIC
0001746059-20-000064	1		primary_doc.xml	C/A
0001746059-20-000064	2		queensgambit_offmoca.pdf	EX-99
0001746059-20-000064	3		queensgambit_noteagmtca.pdf	EX-99
0001665160-20-000164	1		primary_doc.xml	C
0001665160-20-000164	2		offeringmemoformc.pdf	EX-99
0001665160-20-000167	1		primary_doc.xml	C
0001665160-20-000167	2		offeringmemoformc.pdf	EX-99
0001665160-20-000169	1		primary_doc.xml	C/A
0001665160-20-000172	1		primary_doc.xml	C/A
0001665160-20-000172	2		offeringmemoformc.pdf	EX-99
0001803721-20-000002	1		primary_doc.xml	C
0001803721-20-000002	2		offeringmemoformc.pdf	EX-99
0001665160-20-000173	1		primary_doc.xml	C-U
0001669191-20-000080	1		primary_doc.xml	C-U
0001665160-20-000175	1		primary_doc.xml	C
0001665160-20-000175	2		offeringmemoformc.pdf	EX-99
0001665160-20-000177	1		primary_doc.xml	C
0001665160-20-000177	2		offeringmemoformc.pdf	EX-99
0001669191-20-000084	1		primary_doc.xml	C
0001669191-20-000084	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000084	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000084	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000084	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000084	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000084	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000084	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000084	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.PDF	EX-99
0001669191-20-000084	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000084	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000084	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000084	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001805075-20-000001	1		primary_doc.xml	C
0001805075-20-000001	2	FORM C	formcsche.pdf	EX-99
0001793079-20-000001	1		primary_doc.xml	C
0001793079-20-000001	2	FORM C	piqpiqformc.pdf	EX-99
0001670254-20-000156	1		primary_doc.xml	C
0001670254-20-000156	2		document_1.pdf	EX-99
0001670254-20-000156	3		document_2.pdf	EX-99
0001670254-20-000156	4		document_3.pdf	EX-99
0001670254-20-000156	5		document_4.pdf	EX-99
0001670254-20-000156	6		document_5.pdf	EX-99
0001670254-20-000156	7		document_6.pdf	EX-99
0001670254-20-000156	8		document_7.pdf	EX-99
0001670254-20-000156	9		document_8.pdf	EX-99
0001670254-20-000156	10		document_9.pdf	EX-99
0001670254-20-000156	11		document_10.pdf	EX-99
0001670254-20-000156	12		documents_list.htm	EX-99
0001803497-20-000001	1		primary_doc.xml	C
0001803497-20-000001	2	OFFERING DOCUMENT	formcpb.pdf	EX-99
0001213900-20-005020	1		primary_doc.xml	C/A
0001795615-20-000002	1		primary_doc.xml	C/A
0001795615-20-000002	2	HREI OFFERING STATEMENT	hreios20200228.pdf	EX-99
0001665160-20-000178	1		primary_doc.xml	C/A
0001669191-20-000087	1		primary_doc.xml	C/A
0001669191-20-000087	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000087	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000087	4	CPA AUDIT REPORT	auditreport.pdf	EX-99
0001669191-20-000087	5	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000087	6	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000087	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000087	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000087	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000179	1		primary_doc.xml	C/A
0001665160-20-000180	1		primary_doc.xml	C/A
0001797667-20-000004	1		primary_doc.xml	C/A
0001797667-20-000004	2	FORM C/A	FormC3.pdf	EX-99
0001797667-20-000004	3	BOND PROSPECTUS - DEGREES PLATO SERIES A BONDS 03-2027	BondProspectus4.pdf	EX-99
0001797667-20-000004	4	BALANCE SHEET 2017	BalanceSheet2017.pdf	EX-99
0001797667-20-000004	5	BALANCE SHEET 2018	BalanceSheet2018.pdf	EX-99
0001797667-20-000004	6	BALANCE SHEET TO OCT 2019	BalanceSheetasof31Oct2019.pdf	EX-99
0001797667-20-000004	7	PROFIT AND LOSS 2017	ProfitandLoss2017.pdf	EX-99
0001797667-20-000004	8	PROFIT AND LOSS 2018	ProfitandLoss2018.pdf	EX-99
0001797667-20-000004	9	PROFIT AND LOSS TO OCT 2019	ProfitandLossasof31Oct2019.pdf	EX-99
0001797667-20-000004	10	OFFERING DETAILS	OfferingDetails.pdf	EX-99
0001797667-20-000004	11	LINKEDIN PROFILE 1	RichAllenLinkedIn.pdf	EX-99
0001797667-20-000004	12	LINKEDIN PROFILE 2	MercedesSperlingLinkedIn.pdf	EX-99
0001742131-20-000001	1		primary_doc.xml	C
0001742131-20-000001	2	FORM C AND EXHIBITS	engivenedgar.pdf	EX-99
0001765975-20-000003	1		primary_doc.xml	C-U
0001780439-20-000007	1		primary_doc.xml	C/A
0001780439-20-000007	2	EXHIBIT A - AMENDED OFFERING MEMO	EXHIBITAofferingmemoamend.pdf	EX-99
0001780439-20-000007	3	EXHIBIT B - AMENDED SUB AGREEMENT	EXHIBITCsubagrmntamend.pdf	EX-99
0001690474-20-000002	1		primary_doc.xml	C
0001690474-20-000002	2	BLUEFORMC	blueformc.pdf	EX-99
0001690474-20-000004	1		primary_doc.xml	C-W
0001665160-20-000181	1		primary_doc.xml	C/A
0001665160-20-000184	1		primary_doc.xml	C
0001665160-20-000184	2		offeringmemoformc.pdf	EX-99
0001706429-20-000001	1		primary_doc.xml	C/A
0001706429-20-000001	2	FORM C/A	formcawanderingbarman.pdf	EX-99
0001670254-20-000163	1		primary_doc.xml	C
0001670254-20-000163	2		document_1.pdf	EX-99
0001670254-20-000163	3		document_2.pdf	EX-99
0001670254-20-000163	4		document_3.pdf	EX-99
0001670254-20-000163	5		document_4.pdf	EX-99
0001670254-20-000163	6		document_5.pdf	EX-99
0001670254-20-000163	7		document_6.pdf	EX-99
0001670254-20-000163	8		document_7.pdf	EX-99
0001670254-20-000163	9		document_8.pdf	EX-99
0001670254-20-000163	10		documents_list.htm	EX-99
0001739109-20-000001	1		primary_doc.xml	C-TR
0001739109-20-000001	2	REASON FOR TERMINATION	reason_termination.pdf	EX-99
0001665160-20-000186	1		primary_doc.xml	C/A
0001665160-20-000186	2		offeringmemoformc.pdf	EX-99
0001670254-20-000159	1		primary_doc.xml	C
0001670254-20-000159	2		document_1.pdf	EX-99
0001670254-20-000159	3		document_2.pdf	EX-99
0001670254-20-000159	4		document_3.pdf	EX-99
0001670254-20-000159	5		document_4.pdf	EX-99
0001670254-20-000159	6		document_5.pdf	EX-99
0001670254-20-000159	7		document_6.pdf	EX-99
0001670254-20-000159	8		document_7.pdf	EX-99
0001670254-20-000159	9		document_8.pdf	EX-99
0001670254-20-000159	10		document_9.pdf	EX-99
0001670254-20-000159	11		document_10.pdf	EX-99
0001670254-20-000159	12		document_11.pdf	EX-99
0001670254-20-000159	13		documents_list.htm	EX-99
0001669191-20-000090	1		primary_doc.xml	C-U
0001746059-20-000065	1		primary_doc.xml	C-W
0001805177-20-000001	1		primary_doc.xml	C
0001805177-20-000001	2		sandhollow1.pdf	EX-99
0001783004-20-000003	1		primary_doc.xml	C-U
0001669191-20-000092	1		primary_doc.xml	C/A
0001669191-20-000092	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000092	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000092	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000092	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000092	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000092	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000092	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000092	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000187	1		primary_doc.xml	C/A
0001782185-20-000001	1		primary_doc.xml	C
0001782185-20-000001	2	FORMCSBSFRAME	formcsbsframe.pdf	EX-99
0001790674-20-000001	1		primary_doc.xml	C/A
0001790674-20-000001	2	FORMCA	deleeformca.pdf	EX-99
0001790674-20-000001	3	FINANCIALS	financials.pdf	EX-99
0001790674-20-000001	4	OFFERINGPAGE	offeringpage.pdf	EX-99
0001790674-20-000001	5	CROWDSAFE	crowdsafe.pdf	EX-99
0001790674-20-000001	6	VIDEOTRANSCRIPT	videotranscript.pdf	EX-99
0001805103-20-000001	1		primary_doc.xml	C
0001805103-20-000001	2	OFFERING STATEMENT	formcmcandrews.pdf	EX-99
0001670254-20-000168	1		primary_doc.xml	C
0001670254-20-000168	2		document_1.pdf	EX-99
0001670254-20-000168	3		document_2.pdf	EX-99
0001670254-20-000168	4		document_3.pdf	EX-99
0001670254-20-000168	5		document_4.pdf	EX-99
0001670254-20-000168	6		document_5.pdf	EX-99
0001670254-20-000168	7		document_6.pdf	EX-99
0001670254-20-000168	8		document_7.pdf	EX-99
0001670254-20-000168	9		document_8.pdf	EX-99
0001670254-20-000168	10		documents_list.htm	EX-99
0001669191-20-000094	1		primary_doc.xml	C-U
0001746059-20-000066	1		primary_doc.xml	C/A
0001746059-20-000066	2		mizen_noteagmtca.pdf	EX-99
0001746059-20-000066	3		mizen_offmoca2.pdf	EX-99
0001790424-20-000003	1		primary_doc.xml	C/A
0001790424-20-000003	2	GREENZONE PHARMS OFFERING STATEMENT	gzpos20200303.pdf	EX-99
0001665160-20-000188	1		primary_doc.xml	C/A
0001666102-20-000005	1		primary_doc.xml	C/A
0001666102-20-000005	2	FORM C - OFFERING STATEMENT	FormC_20200303e.pdf	EX-99
0001736283-20-000001	1		primary_doc.xml	C
0001736283-20-000001	2	FORM C	amplefoodformcfinal.pdf	EX-99
0001805177-20-000003	1		primary_doc.xml	C
0001805177-20-000003	2		formcsandhollow2.pdf	EX-99
0001805177-20-000004	1		primary_doc.xml	C/A
0001805177-20-000004	2		amendform.pdf	EX-99
0001736283-20-000002	1		primary_doc.xml	C/A
0001736283-20-000002	2	FORM C/A	formcafinalample.pdf	EX-99
0001665160-20-000189	1		primary_doc.xml	C/A
0001665160-20-000190	1		primary_doc.xml	C/A
0001802740-20-000002	1		primary_doc.xml	C
0001802740-20-000002	2		doc1.pdf	EX-99
0001802740-20-000002	3		doc2.pdf	EX-99
0001802740-20-000002	4		doc3.pdf	EX-99
0001802740-20-000002	5		doc4.pdf	EX-99
0001793655-20-000001	1		primary_doc.xml	C-U
0001792640-20-000003	1		primary_doc.xml	C/A
0001792640-20-000003	2	FLOWERBEE GROUP OFFERING STATEMENT	fbgos20200304.pdf	EX-99
0001746059-20-000067	1		primary_doc.xml	C-W
0001746059-20-000068	1		primary_doc.xml	C-W
0001746059-20-000069	1		primary_doc.xml	C-U
0001746059-20-000070	1		primary_doc.xml	C-U
0001665160-20-000195	1		primary_doc.xml	C/A
0001665160-20-000195	2		offeringmemoformc.pdf	EX-99
0001800525-20-000001	1		primary_doc.xml	C
0001800525-20-000001	2	URBAN MODESTY FORM C	formcsbsurbanmodesty.pdf	EX-99
0001670254-20-000172	1		primary_doc.xml	C
0001670254-20-000172	2		document_1.pdf	EX-99
0001670254-20-000172	3		document_2.pdf	EX-99
0001670254-20-000172	4		document_3.pdf	EX-99
0001670254-20-000172	5		document_4.pdf	EX-99
0001670254-20-000172	6		document_5.pdf	EX-99
0001670254-20-000172	7		document_6.pdf	EX-99
0001670254-20-000172	8		document_7.pdf	EX-99
0001670254-20-000172	9		document_8.pdf	EX-99
0001670254-20-000172	10		document_9.pdf	EX-99
0001670254-20-000172	11		document_10.pdf	EX-99
0001670254-20-000172	12		document_11.pdf	EX-99
0001670254-20-000172	13		document_12.pdf	EX-99
0001670254-20-000172	14		document_13.pdf	EX-99
0001670254-20-000172	15		document_14.pdf	EX-99
0001670254-20-000172	16		documents_list.htm	EX-99
0001670254-20-000174	1		primary_doc.xml	C/A
0001670254-20-000174	2		document_1.jpg	GRAPHIC
0001670254-20-000174	3		document_2.jpg	GRAPHIC
0001670254-20-000174	4		document_3.pdf	EX-99
0001670254-20-000174	5		document_4.pdf	EX-99
0001670254-20-000174	6		document_5.pdf	EX-99
0001670254-20-000174	7		document_6.pdf	EX-99
0001670254-20-000174	8		document_7.pdf	EX-99
0001670254-20-000174	9		document_8.pdf	EX-99
0001670254-20-000174	10		document_9.pdf	EX-99
0001670254-20-000174	11		documents_list.htm	EX-99
0001665160-20-000196	1		primary_doc.xml	C/A
0001665160-20-000197	1		primary_doc.xml	C/A
0001665160-20-000198	1		primary_doc.xml	C/A
